1.75	22632 	2750 	27.5
1.76	22720 	2500 	25
1.77	22750 	2240 	22.4
1.78	22720 	1990 	19.9
1.79	22661 	1750 	17.5
1.8	22602 	1520 	15.2
1.81	22426 	1290 	12.9
1.82	22220 	1090 	10.9
1.83	22073 	900 	9
1.84	21690 	730 	7.3
1.85	21514 	580 	5.8
1.86	21131 	450 	4.5
1.87	20867 	340 	3.4
1.88	20278 	240 	2.4
1.89	19984 	160 	1.6
1.9	19601 	110 	1.1
1.91	18836 	90 	0.9
1.92	18336 	80 	0.8
1.93	16747 	80 	0.8
1.94	15571 	90 	0.9
1.95	13452 	90 	0.9
1.96	3831 	110 	1.1
1.97	1625 	200 	2
1.98	242 	320 	3.2
1.99	-7142 	480 	4.8
2	-25913 	670 	6.7
2.01	-26296 	870 	8.7
2.02	-26737 	1090 	10.9
2.03	-27237 	1320 	13.2
2.04	-27443 	1570 	15.7
2.05	-27738 	1830 	18.3
2.06	-27944 	2080 	20.8
2.07	-28150 	2340 	23.4
2.08	-28297 	2590 	25.9
2.09	-28385 	2840 	28.4
2.1	-28326 	3080 	30.8
2.11	-28208 	3320 	33.2
2.12	-28032 	3550 	35.5
2.13	-27855 	3770 	37.7
2.14	-27738 	3970 	39.7
2.15	-27443 	4170 	41.7
2.16	-27002 	4340 	43.4
2.17	-26796 	4540 	45.4
2.18	-26355 	4640 	46.4
2.19	-26119 	4770 	47.7
2.2	-25708 	4810 	48.1
2.21	-25149 	4940 	49.4
2.22	-24854 	4750 	47.5
2.23	-24060 	5010 	50.1
2.24	-22530 	4920 	49.2
2.25	-21736 	5020 	50.2
2.26	-16028 	4820 	48.2
2.27	-9467 	4980 	49.8
2.28	565 	4850 	48.5
2.29	1919 	4700 	47
2.3	18454 	4510 	45.1
2.31	20867 	4320 	43.2
2.32	21543 	4100 	41
2.33	21749 	3870 	38.7
2.34	22161 	3630 	36.3
2.35	22308 	3380 	33.8
2.36	22485 	3130 	31.3
2.37	22544 	2880 	28.8
2.38	22720 	2620 	26.2
2.39	22720 	2360 	23.6
2.4	22779 	2110 	21.1
2.41	22779 	1870 	18.7
2.42	22750 	1630 	16.3
2.43	22455 	1400 	14
2.44	22367 	1180 	11.8
2.45	22043 	980 	9.8
2.46	21896 	810 	8.1
2.47	21514 	650 	6.5
2.48	21308 	510 	5.1
2.49	21131 	390 	3.9
2.5	20513 	280 	2.8
2.51	20249 	200 	2
2.52	19601 	130 	1.3
2.53	19219 	100 	1
2.54	18277 	80 	0.8
2.55	17483 	80 	0.8
2.56	16659 	90 	0.9
2.57	13099 	90 	0.9
2.58	8627 	100 	1
2.59	3419 	140 	1.4
2.6	-52 	260 	2.6
2.61	-8849 	420 	4.2
2.62	-22177 	600 	6
2.63	-26296 	800 	8
2.64	-26531 	1010 	10.1
2.65	-27061 	1250 	12.5
2.66	-27296 	1500 	15
2.67	-27620 	1750 	17.5
2.68	-27973 	2000 	20
2.69	-28061 	2190 	21.9
2.7	-28267 	2520 	25.2
2.71	-28385 	2770 	27.7
2.72	-28356 	3010 	30.1
2.73	-28238 	3260 	32.6
2.74	-28120 	3490 	34.9
2.75	-27885 	3720 	37.2
2.76	-27738 	3920 	39.2
2.77	-27532 	4120 	41.2
2.78	-27179 	4300 	43
2.79	-26767 	4460 	44.6
2.8	-26531 	4610 	46.1
2.81	-26061 	4740 	47.4
2.82	-25855 	4840 	48.4
2.83	-25354 	4910 	49.1
2.84	-24737 	4980 	49.8
2.85	-24354 	4720 	47.2
2.86	-23089 	4880 	48.8
2.87	-21294 	5020 	50.2
2.88	-18911 	5000 	50
2.89	-7672 	5000 	50
2.9	-758 	4890 	48.9
2.91	2713 	4750 	47.5
2.92	11422 	4560 	45.6
2.93	20925 	4370 	43.7
2.94	21278 	4150 	41.5
2.95	21808 	3930 	39.3
2.96	22043 	3690 	36.9
2.97	22308 	3400 	34
2.98	22396 	3190 	31.9
2.99	22573 	2940 	29.4
3	22691 	2680 	26.8
3.01	22779 	2420 	24.2
3.02	22779 	2170 	21.7
3.03	22720 	1920 	19.2
3.04	22661 	1680 	16.8
3.05	22602 	1450 	14.5
3.06	22338 	1230 	12.3
3.07	22161 	1030 	10.3
3.08	21837 	840 	8.4
3.09	21631 	680 	6.8
3.1	21249 	540 	5.4
3.11	21072 	410 	4.1
3.12	20778 	300 	3
3.13	20219 	210 	2.1
3.14	19866 	140 	1.4
3.15	19131 	100 	1
3.16	18719 	80 	0.8
3.17	17336 	80 	0.8
3.18	16483 	80 	0.8
3.19	15070 	90 	0.9
3.2	7656 	80 	0.8
3.21	2890 	120 	1.2
3.22	1360 	230 	2.3
3.23	-699 	370 	3.7
3.24	-23383 	550 	5.5
3.25	-26090 	740 	7.4
3.26	-26561 	840 	8.4
3.27	-26796 	1170 	11.7
3.28	-27296 	1410 	14.1
3.29	-27502 	1660 	16.6
3.3	-27767 	1920 	19.2
3.31	-28061 	2170 	21.7
3.32	-28208 	2430 	24.3
3.33	-28267 	2680 	26.8
3.34	-28356 	2930 	29.3
3.35	-28356 	3160 	31.6
3.36	-28091 	3350 	33.5
3.37	-27973 	3640 	36.4
3.38	-27855 	3850 	38.5
3.39	-27502 	4050 	40.5
3.4	-27385 	4230 	42.3
3.41	-26973 	4400 	44
3.42	-26737 	4550 	45.5
3.43	-26296 	4690 	46.9
3.44	-25825 	4810 	48.1
3.45	-25590 	4900 	49
3.46	-25031 	4970 	49.7
3.47	-24325 	4760 	47.6
3.48	-23825 	4780 	47.8
3.49	-22265 	5010 	50.1
3.5	-21235 	5020 	50.2
3.51	-14792 	5000 	50
3.52	-699 	4940 	49.4
3.53	712 	4810 	48.1
3.54	2978 	4650 	46.5
3.55	19513 	4460 	44.6
3.56	20896 	4260 	42.6
3.57	21543 	4040 	40.4
3.58	21808 	3810 	38.1
3.59	22161 	3560 	35.6
3.6	22396 	3320 	33.2
3.61	22514 	3060 	30.6
3.62	22661 	2810 	28.1
3.63	22691 	2560 	25.6
3.64	22720 	2310 	23.1
3.65	22720 	2060 	20.6
3.66	22661 	1810 	18.1
3.67	22691 	1580 	15.8
3.68	22426 	1350 	13.5
3.69	22367 	1140 	11.4
3.7	22043 	940 	9.4
3.71	21837 	770 	7.7
3.72	21484 	620 	6.2
3.73	21278 	480 	4.8
3.74	20808 	360 	3.6
3.75	20484 	260 	2.6
3.76	20249 	180 	1.8
3.77	19543 	120 	1.2
3.78	19160 	90 	0.9
3.79	18189 	80 	0.8
3.8	17395 	80 	0.8
3.81	16571 	90 	0.9
3.82	12775 	90 	0.9
3.83	7980 	100 	1
3.84	3096 	160 	1.6
3.85	-375 	290 	2.9
3.86	-10026 	460 	4.6
3.87	-26031 	650 	6.5
3.88	-26296 	840 	8.4
3.89	-26767 	1060 	10.6
3.9	-27061 	1290 	12.9
3.91	-27443 	1540 	15.4
3.92	-27561 	1790 	17.9
3.93	-27914 	2050 	20.5
3.94	-28120 	2310 	23.1
3.95	-28179 	2560 	25.6
3.96	-28356 	2810 	28.1
3.97	-28297 	3050 	30.5
3.98	-28179 	3220 	32.2
3.99	-27973 	3520 	35.2
4	-27855 	3730 	37.3
4.01	-27649 	3950 	39.5
4.02	-27385 	4140 	41.4
4.03	-27149 	4320 	43.2
4.04	-26737 	4480 	44.8
4.05	-26531 	4620 	46.2
4.06	-26090 	4750 	47.5
4.07	-25619 	4850 	48.5
4.08	-25354 	4680 	46.8
4.09	-24766 	4990 	49.9
4.1	-23942 	4730 	47.3
4.11	-23207 	5020 	50.2
4.12	-21500 	5020 	50.2
4.13	-19441 	4720 	47.2
4.14	-9025 	4990 	49.9
4.15	595 	4880 	48.8
4.16	2095 	4740 	47.4
4.17	9774 	4570 	45.7
4.18	20778 	4380 	43.8
4.19	21190 	4160 	41.6
4.2	21720 	3940 	39.4
4.21	21985 	3650 	36.5
4.22	22279 	3430 	34.3
4.23	22367 	3210 	32.1
4.24	22544 	2960 	29.6
4.25	22632 	2700 	27
4.26	22691 	2440 	24.4
4.27	22750 	2190 	21.9
4.28	22750 	1950 	19.5
4.29	22661 	1710 	17.1
4.3	22573 	1470 	14.7
4.31	22367 	1250 	12.5
4.32	22220 	1050 	10.5
4.33	21926 	860 	8.6
4.34	21690 	700 	7
4.35	21308 	550 	5.5
4.36	21161 	420 	4.2
4.37	20896 	310 	3.1
4.38	20249 	220 	2.2
4.39	19954 	150 	1.5
4.4	19219 	100 	1
4.41	18807 	80 	0.8
4.42	17512 	80 	0.8
4.43	16718 	80 	0.8
4.44	15453 	90 	0.9
4.45	8862 	80 	0.8
4.46	3596 	120 	1.2
4.47	1625 	220 	2.2
4.48	65.65 	370 	3.7
4.49	-21765 	550 	5.5
4.5	-25972 	740 	7.4
